JDBC time: 36136342, Servlet time: 36185924
JDBC time: 35494705, Servlet time: 35519498
JDBC time: 28790634, Servlet time: 28815119
JDBC time: 40158778, Servlet time: 40182064
JDBC time: 9951432, Servlet time: 9991870
JDBC time: 16849415, Servlet time: 16872870
JDBC time: 18252659, Servlet time: 18304074
JDBC time: 21651304, Servlet time: 21678643
JDBC time: 26852290, Servlet time: 26878028
JDBC time: 30195568, Servlet time: 30234662
JDBC time: 51560328, Servlet time: 51607611
JDBC time: 50951891, Servlet time: 50975395
JDBC time: 53161396, Servlet time: 53185696
JDBC time: 52417672, Servlet time: 52440125
JDBC time: 26713710, Servlet time: 26759371
JDBC time: 21267909, Servlet time: 21291288
JDBC time: 22052284, Servlet time: 22079973
JDBC time: 31920187, Servlet time: 31945056
JDBC time: 34088930, Servlet time: 34110074
JDBC time: 34013678, Servlet time: 34036962
JDBC time: 35670130, Servlet time: 35717646
JDBC time: 27995932, Servlet time: 28017215
JDBC time: 30613190, Servlet time: 30637319
JDBC time: 33851182, Servlet time: 33889662
JDBC time: 26835354, Servlet time: 26860540
JDBC time: 19728824, Servlet time: 19772906
JDBC time: 19466321, Servlet time: 19491383
JDBC time: 57486996, Servlet time: 57512675
JDBC time: 61997258, Servlet time: 62018334
JDBC time: 61398054, Servlet time: 61421643
JDBC time: 68129712, Servlet time: 68151940
JDBC time: 67331732, Servlet time: 67355812
JDBC time: 72280216, Servlet time: 72302070
JDBC time: 80930559, Servlet time: 80978005
JDBC time: 60852186, Servlet time: 60881749
JDBC time: 18177685, Servlet time: 18221218
JDBC time: 18206304, Servlet time: 18228400
JDBC time: 49951060, Servlet time: 49978352
JDBC time: 45593904, Servlet time: 45615045
JDBC time: 48786035, Servlet time: 48806615
JDBC time: 70955621, Servlet time: 70977173
JDBC time: 73923843, Servlet time: 73945219
JDBC time: 75497132, Servlet time: 75542374
JDBC time: 57229217, Servlet time: 57254027
JDBC time: 57633517, Servlet time: 57654754
JDBC time: 18379132, Servlet time: 18400413
JDBC time: 19632681, Servlet time: 19694223
JDBC time: 25376941, Servlet time: 25403738
JDBC time: 25626498, Servlet time: 25648865
JDBC time: 26585018, Servlet time: 26630805
JDBC time: 39084624, Servlet time: 39108644
JDBC time: 40446310, Servlet time: 40468976
