JDBC time:1070397, Search Servlet time:1156513
JDBC time:4021544, Search Servlet time:4173436
JDBC time:3664577, Search Servlet time:3757181
JDBC time:5157169, Search Servlet time:4829754
JDBC time:5631114, Search Servlet time:5719118
JDBC time:1745830, Search Servlet time:1889640
JDBC time:3743742, Search Servlet time:3839629
JDBC time:4452878, Search Servlet time:4236399
JDBC time:1562355, Search Servlet time:1705886
JDBC time:1507559, Search Servlet time:1657284
JDBC time:1283999, Search Servlet time:1386134
JDBC time:1202022, Search Servlet time:1312506
JDBC time:1614049, Search Servlet time:1700282
JDBC time:2764661, Search Servlet time:629859
JDBC time:4294419, Search Servlet time:3192284
JDBC time:3429573, Search Servlet time:3505124
JDBC time:4640593, Search Servlet time:4366473
JDBC time:2059956, Search Servlet time:1820102
JDBC time:2960301, Search Servlet time:3030308
JDBC time:5605114, Search Servlet time:4830756
JDBC time:6784530, Search Servlet time:6893035
JDBC time:1613852, Search Servlet time:1734319
JDBC time:3242664, Search Servlet time:2074656
JDBC time:1840670, Search Servlet time:1919762
JDBC time:7606751, Search Servlet time:2590987
JDBC time:2281224, Search Servlet time:711300
JDBC time:2494838, Search Servlet time:534810
JDBC time:3770767, Search Servlet time:839564
JDBC time:2292830, Search Servlet time:2370924
JDBC time:1808190, Search Servlet time:1954107
JDBC time:2380100, Search Servlet time:2458466
JDBC time:5229503, Search Servlet time:3549056
JDBC time:4157023, Search Servlet time:3850893
JDBC time:1902979, Search Servlet time:2029976
JDBC time:2088429, Search Servlet time:2165523
JDBC time:4500605, Search Servlet time:2556854
JDBC time:7728435, Search Servlet time:5453103
JDBC time:2136934, Search Servlet time:2287788
JDBC time:2256016, Search Servlet time:598540
JDBC time:4173041, Search Servlet time:932838
JDBC time:2540125, Search Servlet time:2615664
JDBC time:5653714, Search Servlet time:5789114
JDBC time:1742539, Search Servlet time:2085334
JDBC time:4874064, Search Servlet time:2422951
JDBC time:3213007, Search Servlet time:2532377
JDBC time:1568373, Search Servlet time:1682440
JDBC time:2360336, Search Servlet time:2434002
JDBC time:3080503, Search Servlet time:2755338
JDBC time:4800696, Search Servlet time:3098331
JDBC time:1865879, Search Servlet time:1999893
JDBC time:3897994, Search Servlet time:4006068
JDBC time:7575551, Search Servlet time:5352421
JDBC time:8269886, Search Servlet time:5667585
JDBC time:1675508, Search Servlet time:1829251
JDBC time:1813113, Search Servlet time:1913944
JDBC time:2814522, Search Servlet time:1419828
JDBC time:1627756, Search Servlet time:1695785
