JDBC time:1300006, Search Servlet time:1379930
JDBC time:3630005, Search Servlet time:3739361
JDBC time:4248650, Search Servlet time:4337197
JDBC time:1057472, Search Servlet time:1107801
JDBC time:7788884, Search Servlet time:2022290
JDBC time:1757414, Search Servlet time:1860558
JDBC time:1371745, Search Servlet time:1466052
JDBC time:929074, Search Servlet time:982886
JDBC time:1433673, Search Servlet time:1525224
JDBC time:3277520, Search Servlet time:2819566
JDBC time:1694061, Search Servlet time:1782951
JDBC time:1275133, Search Servlet time:1324675
JDBC time:1489609, Search Servlet time:1585452
JDBC time:1960385, Search Servlet time:2041236
JDBC time:2689128, Search Servlet time:2472557
JDBC time:2711249, Search Servlet time:2761231
JDBC time:1453417, Search Servlet time:1542332
JDBC time:1279699, Search Servlet time:1385476
JDBC time:2516999, Search Servlet time:380002
JDBC time:1398565, Search Servlet time:1448628
JDBC time:2460714, Search Servlet time:2551525
JDBC time:1259851, Search Servlet time:1315477
JDBC time:1391527, Search Servlet time:1487999
JDBC time:1604456, Search Servlet time:1713247
JDBC time:2370660, Search Servlet time:2452143
JDBC time:1133349, Search Servlet time:1215942
JDBC time:1488069, Search Servlet time:1538364
JDBC time:4633145, Search Servlet time:1799888
JDBC time:1421441, Search Servlet time:1512458
JDBC time:902506, Search Servlet time:955905
JDBC time:1657371, Search Servlet time:1754796
JDBC time:1505747, Search Servlet time:1601259
JDBC time:3774343, Search Servlet time:3875540
JDBC time:1193112, Search Servlet time:1277229
JDBC time:1309830, Search Servlet time:1398839
JDBC time:2111687, Search Servlet time:2202177
JDBC time:2723019, Search Servlet time:2459919
JDBC time:1459043, Search Servlet time:1550553
JDBC time:1334879, Search Servlet time:1439954
JDBC time:1746233, Search Servlet time:1849386
JDBC time:1506499, Search Servlet time:1605146
JDBC time:3602052, Search Servlet time:3699567
JDBC time:1587808, Search Servlet time:1399450
JDBC time:2599127, Search Servlet time:2677044
JDBC time:4804319, Search Servlet time:3895577
JDBC time:1515344, Search Servlet time:1605521
JDBC time:3302100, Search Servlet time:2845374
JDBC time:1306031, Search Servlet time:1390863
JDBC time:5963244, Search Servlet time:5736627
JDBC time:6313211, Search Servlet time:6374008
JDBC time:1410475, Search Servlet time:1507459
JDBC time:1211091, Search Servlet time:1282586
JDBC time:2587454, Search Servlet time:2681274
JDBC time:3264906, Search Servlet time:2966754
JDBC time:4796065, Search Servlet time:3986611
JDBC time:1573317, Search Servlet time:1664968
JDBC time:1145989, Search Servlet time:1206035
JDBC time:980381, Search Servlet time:1034310
JDBC time:2282846, Search Servlet time:2377882
JDBC time:1345991, Search Servlet time:1444924
JDBC time:1236846, Search Servlet time:1293361
JDBC time:1130911, Search Servlet time:1202563
JDBC time:1682476, Search Servlet time:1774092
JDBC time:10540335, Search Servlet time:10657766
JDBC time:1383220, Search Servlet time:1475111
JDBC time:1427322, Search Servlet time:1524107
JDBC time:1798993, Search Servlet time:1572469
JDBC time:2618624, Search Servlet time:2673094
JDBC time:1880796, Search Servlet time:1973716
JDBC time:1410528, Search Servlet time:1594294
JDBC time:1646215, Search Servlet time:1734705
JDBC time:1375450, Search Servlet time:1463140
JDBC time:1786097, Search Servlet time:1897049
JDBC time:1001853, Search Servlet time:1054173
JDBC time:908093, Search Servlet time:964653
JDBC time:1440669, Search Servlet time:1540374
JDBC time:1096599, Search Servlet time:1163475
