JDBC time:1650546, Search Servlet time:1758433
JDBC time:1335425, Search Servlet time:1435529
JDBC time:1472222, Search Servlet time:1575974
JDBC time:1343957, Search Servlet time:1432793
JDBC time:1250380, Search Servlet time:1363516
JDBC time:1660670, Search Servlet time:1743441
JDBC time:1600282, Search Servlet time:1711690
JDBC time:10956565, Search Servlet time:11083666
JDBC time:1363984, Search Servlet time:1449537
JDBC time:3762715, Search Servlet time:3904462
JDBC time:3136028, Search Servlet time:3235804
JDBC time:1438953, Search Servlet time:1544343
JDBC time:3500708, Search Servlet time:3597954
JDBC time:1197369, Search Servlet time:1292589
JDBC time:1732009, Search Servlet time:1823584
JDBC time:1592050, Search Servlet time:1699755
JDBC time:1323032, Search Servlet time:1426693
JDBC time:1816432, Search Servlet time:1921263
JDBC time:1821460, Search Servlet time:1928533
JDBC time:10422860, Search Servlet time:10537235
JDBC time:1602459, Search Servlet time:1707970
JDBC time:1484748, Search Servlet time:1591285
JDBC time:1601403, Search Servlet time:1697122
JDBC time:1581426, Search Servlet time:1699100
JDBC time:1523614, Search Servlet time:1597552
JDBC time:1709581, Search Servlet time:1793114
JDBC time:1961918, Search Servlet time:2076817
JDBC time:1571741, Search Servlet time:1673268
JDBC time:1537699, Search Servlet time:1631985
JDBC time:1424554, Search Servlet time:1550027
JDBC time:1765363, Search Servlet time:1869291
JDBC time:1297643, Search Servlet time:1398516
JDBC time:1508615, Search Servlet time:1609159
JDBC time:1652955, Search Servlet time:1756380
JDBC time:1479867, Search Servlet time:1588683
JDBC time:1646514, Search Servlet time:1762914
JDBC time:1492594, Search Servlet time:1619795
JDBC time:1457708, Search Servlet time:1553025
JDBC time:1675192, Search Servlet time:1774103
JDBC time:1641415, Search Servlet time:1745393
JDBC time:1495675, Search Servlet time:1603480
JDBC time:1365761, Search Servlet time:1459205
JDBC time:1372505, Search Servlet time:1471824
JDBC time:1627398, Search Servlet time:1731556
JDBC time:1519577, Search Servlet time:1624441
JDBC time:1643409, Search Servlet time:1743033
JDBC time:1379941, Search Servlet time:1464954
JDBC time:1505507, Search Servlet time:1625909
JDBC time:1266189, Search Servlet time:1352118
JDBC time:1320397, Search Servlet time:1424889
JDBC time:1343140, Search Servlet time:1431620
JDBC time:1744099, Search Servlet time:1843335
JDBC time:1444203, Search Servlet time:1548492
JDBC time:1352786, Search Servlet time:1456873
JDBC time:1489394, Search Servlet time:1573754
JDBC time:1479787, Search Servlet time:1590315
JDBC time:1536718, Search Servlet time:1647694
JDBC time:1418216, Search Servlet time:1528554
JDBC time:1525688, Search Servlet time:1614341
JDBC time:1256775, Search Servlet time:1343263
JDBC time:1336654, Search Servlet time:1418620
JDBC time:2113768, Search Servlet time:2208078
JDBC time:1279307, Search Servlet time:1351579
JDBC time:1738634, Search Servlet time:1881153
JDBC time:1279340, Search Servlet time:1418039
JDBC time:1294018, Search Servlet time:1402331
JDBC time:1717352, Search Servlet time:1832566
JDBC time:1581297, Search Servlet time:1671019
JDBC time:1645638, Search Servlet time:1764352
JDBC time:1682174, Search Servlet time:1795095
JDBC time:2010692, Search Servlet time:2115327
JDBC time:1304597, Search Servlet time:1422486
JDBC time:1855157, Search Servlet time:1971811
JDBC time:1535838, Search Servlet time:1656421
JDBC time:1499152, Search Servlet time:1600106
JDBC time:1598311, Search Servlet time:1691062
JDBC time:3679757, Search Servlet time:3792481
JDBC time:1691820, Search Servlet time:1790206
JDBC time:1383559, Search Servlet time:1476494
JDBC time:1581326, Search Servlet time:1704943
JDBC time:1743178, Search Servlet time:1874589
JDBC time:1882383, Search Servlet time:1977882
JDBC time:11226071, Search Servlet time:11358533
JDBC time:2419733, Search Servlet time:2545834
JDBC time:1386239, Search Servlet time:1515663
JDBC time:1253769, Search Servlet time:1341722
JDBC time:1566450, Search Servlet time:1663711
JDBC time:1477684, Search Servlet time:1591070
JDBC time:1734368, Search Servlet time:1894294
JDBC time:1377755, Search Servlet time:1492786
JDBC time:1705072, Search Servlet time:1857231
JDBC time:1722669, Search Servlet time:1809390
JDBC time:1439507, Search Servlet time:1555541
JDBC time:1570724, Search Servlet time:1702674
JDBC time:1570847, Search Servlet time:1668118
JDBC time:1611087, Search Servlet time:1691960
JDBC time:1532547, Search Servlet time:1671037
JDBC time:1271709, Search Servlet time:1373690
JDBC time:1598613, Search Servlet time:1693798
JDBC time:1694600, Search Servlet time:1814543
JDBC time:1571809, Search Servlet time:1660440
JDBC time:1576846, Search Servlet time:1689843
JDBC time:1932023, Search Servlet time:2028206
JDBC time:1445842, Search Servlet time:1555177
JDBC time:9758405, Search Servlet time:9870983
JDBC time:1379787, Search Servlet time:1477802
JDBC time:3625465, Search Servlet time:3728016
JDBC time:1463961, Search Servlet time:1576241
JDBC time:3661892, Search Servlet time:3771909
JDBC time:1857512, Search Servlet time:1949652
JDBC time:1750400, Search Servlet time:1842429
JDBC time:1362957, Search Servlet time:1467517
JDBC time:1424428, Search Servlet time:1560967
JDBC time:5584755, Search Servlet time:5697727
JDBC time:2075816, Search Servlet time:2187952
JDBC time:1836125, Search Servlet time:1938525
JDBC time:1368935, Search Servlet time:1458031
JDBC time:2101740, Search Servlet time:2223856
JDBC time:1762197, Search Servlet time:1880613
JDBC time:1825700, Search Servlet time:1927850
JDBC time:2277300, Search Servlet time:2390278
JDBC time:1619861, Search Servlet time:1714268
JDBC time:1439126, Search Servlet time:1576124
JDBC time:1476828, Search Servlet time:1595062
JDBC time:1572227, Search Servlet time:1688884
JDBC time:1373654, Search Servlet time:1499569
JDBC time:3630230, Search Servlet time:3726896
JDBC time:1494660, Search Servlet time:1622068
JDBC time:1595259, Search Servlet time:1702821
JDBC time:1737504, Search Servlet time:1830022
JDBC time:3391204, Search Servlet time:3519130
JDBC time:1432759, Search Servlet time:1564387
JDBC time:1910603, Search Servlet time:2023616
JDBC time:1625519, Search Servlet time:1713771
JDBC time:1850237, Search Servlet time:1950246
JDBC time:1570835, Search Servlet time:1683469
JDBC time:1243976, Search Servlet time:1343760
JDBC time:3855320, Search Servlet time:3941856
JDBC time:1325182, Search Servlet time:1411798
JDBC time:1707922, Search Servlet time:1846408
JDBC time:1425774, Search Servlet time:1541151
JDBC time:1766618, Search Servlet time:1851710
JDBC time:3557382, Search Servlet time:3666659
JDBC time:1365033, Search Servlet time:1497863
JDBC time:1311640, Search Servlet time:1424575
JDBC time:1617972, Search Servlet time:1714603
JDBC time:1571802, Search Servlet time:1653864
JDBC time:1393939, Search Servlet time:3825624
JDBC time:9871406, Search Servlet time:9978899
JDBC time:1737416, Search Servlet time:1882793
JDBC time:1325036, Search Servlet time:1432510
JDBC time:1754116, Search Servlet time:1835875
JDBC time:1459780, Search Servlet time:1568682
JDBC time:1853939, Search Servlet time:1981153
JDBC time:1557013, Search Servlet time:1680845
JDBC time:1356235, Search Servlet time:1473401
JDBC time:1647200, Search Servlet time:1766995
JDBC time:10865556, Search Servlet time:10966436
JDBC time:1613903, Search Servlet time:1716687
JDBC time:1529491, Search Servlet time:1683532
JDBC time:1651243, Search Servlet time:1757124
JDBC time:1364516, Search Servlet time:1436719
JDBC time:1797009, Search Servlet time:1909637
JDBC time:1901586, Search Servlet time:2002383
JDBC time:1377908, Search Servlet time:1471739
JDBC time:1331549, Search Servlet time:1431887
JDBC time:1436242, Search Servlet time:1549311
JDBC time:1760855, Search Servlet time:1853653
JDBC time:10974177, Search Servlet time:11106181
JDBC time:1559087, Search Servlet time:1652525
JDBC time:1408746, Search Servlet time:1527399
JDBC time:1945308, Search Servlet time:2053758
JDBC time:1750762, Search Servlet time:1849299
JDBC time:1745542, Search Servlet time:1865227
JDBC time:11122072, Search Servlet time:11250377
JDBC time:1365641, Search Servlet time:1474155
JDBC time:1387339, Search Servlet time:1488199
JDBC time:1564385, Search Servlet time:1667426
JDBC time:1323259, Search Servlet time:1445948
JDBC time:1552963, Search Servlet time:1654601
JDBC time:1613329, Search Servlet time:1718144
JDBC time:1612915, Search Servlet time:1744014
JDBC time:1354759, Search Servlet time:1445430
JDBC time:1596919, Search Servlet time:1694392
JDBC time:1437331, Search Servlet time:1542038
JDBC time:1709455, Search Servlet time:1824113
JDBC time:3795894, Search Servlet time:3900927
JDBC time:1618115, Search Servlet time:1706907
JDBC time:1354063, Search Servlet time:1475734
JDBC time:1333525, Search Servlet time:1455844
JDBC time:1902402, Search Servlet time:2002958
JDBC time:1519053, Search Servlet time:1614605
JDBC time:1431880, Search Servlet time:1530623
JDBC time:1775543, Search Servlet time:1890634
JDBC time:2981055, Search Servlet time:3078250
JDBC time:1377291, Search Servlet time:1476062
JDBC time:1389480, Search Servlet time:1494445
JDBC time:1496558, Search Servlet time:1598414
JDBC time:1453657, Search Servlet time:1561683
JDBC time:1817198, Search Servlet time:1931702
JDBC time:1791679, Search Servlet time:1900311
JDBC time:1760164, Search Servlet time:1861468
JDBC time:1451685, Search Servlet time:1560259
JDBC time:1485099, Search Servlet time:1604790
JDBC time:1707758, Search Servlet time:1804720
JDBC time:1802222, Search Servlet time:1905426
JDBC time:11214103, Search Servlet time:11313082
JDBC time:1297286, Search Servlet time:1424532
JDBC time:1399407, Search Servlet time:1491443
JDBC time:1421302, Search Servlet time:1522958
JDBC time:3623827, Search Servlet time:3741176
JDBC time:3873259, Search Servlet time:3980672
JDBC time:2009496, Search Servlet time:2117122
JDBC time:1492968, Search Servlet time:1589075
JDBC time:1784688, Search Servlet time:1892192
JDBC time:1469495, Search Servlet time:1592117
JDBC time:1397339, Search Servlet time:1507591
JDBC time:1679877, Search Servlet time:1811969
JDBC time:1539561, Search Servlet time:1650601
JDBC time:1777742, Search Servlet time:1882726
JDBC time:1655710, Search Servlet time:1732296
JDBC time:1398074, Search Servlet time:1492710
JDBC time:2004428, Search Servlet time:2105367
JDBC time:1643111, Search Servlet time:1729923
JDBC time:1801436, Search Servlet time:1881748
JDBC time:1475803, Search Servlet time:1580978
JDBC time:1316755, Search Servlet time:1417409
JDBC time:1473026, Search Servlet time:1563765
JDBC time:1417376, Search Servlet time:1512306
JDBC time:2664314, Search Servlet time:2781322
JDBC time:1803906, Search Servlet time:1879779
JDBC time:1205770, Search Servlet time:1275984
JDBC time:1615413, Search Servlet time:1742710
JDBC time:2266235, Search Servlet time:2392883
JDBC time:1485773, Search Servlet time:1565425
JDBC time:1415209, Search Servlet time:1500813
JDBC time:1954071, Search Servlet time:2055876
JDBC time:1366692, Search Servlet time:1468815
JDBC time:1320295, Search Servlet time:1436075
JDBC time:1940095, Search Servlet time:2039867
JDBC time:1588746, Search Servlet time:1744582
JDBC time:3573572, Search Servlet time:3651979
JDBC time:1412053, Search Servlet time:1560388
JDBC time:1442164, Search Servlet time:1532234
JDBC time:1318228, Search Servlet time:1441009
JDBC time:1593273, Search Servlet time:1691786
JDBC time:1445748, Search Servlet time:1553158
JDBC time:1459844, Search Servlet time:1562567
JDBC time:1648917, Search Servlet time:1745332
JDBC time:1510341, Search Servlet time:1649026
JDBC time:3511092, Search Servlet time:3596026
JDBC time:1450026, Search Servlet time:1549740
JDBC time:1643685, Search Servlet time:1738712
JDBC time:1554686, Search Servlet time:1658146
JDBC time:1455780, Search Servlet time:1565133
JDBC time:1523621, Search Servlet time:1627513
JDBC time:1400053, Search Servlet time:1494875
JDBC time:1426752, Search Servlet time:1525520
JDBC time:5518245, Search Servlet time:5626837
JDBC time:1440155, Search Servlet time:1544703
JDBC time:1426682, Search Servlet time:1528194
JDBC time:1414336, Search Servlet time:1531870
JDBC time:1438624, Search Servlet time:1544908
JDBC time:1957370, Search Servlet time:2056163
JDBC time:1453323, Search Servlet time:1561372
JDBC time:1516895, Search Servlet time:1617061
JDBC time:1460794, Search Servlet time:1596104
JDBC time:1769801, Search Servlet time:1871499
JDBC time:1398567, Search Servlet time:1501399
JDBC time:1746962, Search Servlet time:1870426
JDBC time:1362201, Search Servlet time:1463365
JDBC time:1753472, Search Servlet time:1855076
JDBC time:12355125, Search Servlet time:12465321
JDBC time:1473776, Search Servlet time:1575164
JDBC time:1504958, Search Servlet time:1618146
JDBC time:1687756, Search Servlet time:1792256
JDBC time:1292102, Search Servlet time:1392917
JDBC time:1962196, Search Servlet time:2068093
JDBC time:1395253, Search Servlet time:1491165
JDBC time:1693247, Search Servlet time:1781231
JDBC time:1385184, Search Servlet time:1492026
JDBC time:1825726, Search Servlet time:1927085
JDBC time:1419116, Search Servlet time:1533048
