JDBC time: 84241814, Servlet time: 84274199
JDBC time: 89711716, Servlet time: 89746042
JDBC time: 100369207, Servlet time: 100434013
JDBC time: 106557331, Servlet time: 106607761
JDBC time: 75911321, Servlet time: 75948151
JDBC time: 75882655, Servlet time: 75921903
JDBC time: 84283458, Servlet time: 84330793
JDBC time: 73374634, Servlet time: 73442439
JDBC time: 92146489, Servlet time: 92178580
JDBC time: 92143163, Servlet time: 92176157
JDBC time: 78640137, Servlet time: 78677887
JDBC time: 78603911, Servlet time: 78640883
JDBC time: 85423902, Servlet time: 85458548
JDBC time: 105347358, Servlet time: 105409522
JDBC time: 42136194, Servlet time: 42168254
JDBC time: 45867081, Servlet time: 45903292
JDBC time: 49331711, Servlet time: 49367170
JDBC time: 51116041, Servlet time: 51227560
JDBC time: 50740998, Servlet time: 50775926
JDBC time: 50300620, Servlet time: 50333702
JDBC time: 55722939, Servlet time: 55757049
JDBC time: 60580964, Servlet time: 60614501
JDBC time: 56411490, Servlet time: 56445884
JDBC time: 67140509, Servlet time: 67214898
JDBC time: 38357292, Servlet time: 38395939
JDBC time: 38621795, Servlet time: 38720631
JDBC time: 34451089, Servlet time: 34497151
JDBC time: 45016965, Servlet time: 45083197
JDBC time: 53133833, Servlet time: 53165340
JDBC time: 61920205, Servlet time: 61951280
JDBC time: 62671042, Servlet time: 62703350
JDBC time: 64373674, Servlet time: 64406239
JDBC time: 65565309, Servlet time: 65622229
JDBC time: 65299519, Servlet time: 65331919
JDBC time: 36222985, Servlet time: 36255301
JDBC time: 37321613, Servlet time: 37363570
JDBC time: 38459663, Servlet time: 38493392
JDBC time: 40252379, Servlet time: 40321347
JDBC time: 58295994, Servlet time: 58331772
JDBC time: 58377468, Servlet time: 58409457
JDBC time: 61822973, Servlet time: 61857882
JDBC time: 65735037, Servlet time: 65796707
JDBC time: 64210026, Servlet time: 64241764
JDBC time: 71396310, Servlet time: 71433992
JDBC time: 44785572, Servlet time: 44819437
JDBC time: 46462664, Servlet time: 46496091
JDBC time: 46381018, Servlet time: 46414676
JDBC time: 47988264, Servlet time: 48053786
JDBC time: 60064503, Servlet time: 60095590
JDBC time: 62435136, Servlet time: 62462251
JDBC time: 69605576, Servlet time: 69638779
JDBC time: 70598111, Servlet time: 70633529
JDBC time: 79466089, Servlet time: 79502060
JDBC time: 90794211, Servlet time: 90868363
JDBC time: 54564768, Servlet time: 54602209
JDBC time: 54049742, Servlet time: 54085726
JDBC time: 28931524, Servlet time: 28972099
JDBC time: 28892584, Servlet time: 28926328
JDBC time: 68819277, Servlet time: 68850680
JDBC time: 85816008, Servlet time: 85851397
JDBC time: 79237119, Servlet time: 79266749
JDBC time: 83177623, Servlet time: 83230537
JDBC time: 82703961, Servlet time: 82733528
JDBC time: 88210247, Servlet time: 88241732
JDBC time: 97440456, Servlet time: 97512590
